CASENUM,STRM,Subject,CatalogNbr,TITLE,Grade
1150,FALL 14,MA,243,Calculus & Analytical Geom III,B
1150,SPRING 15,MA,345,Differential Eq & Matrix Meth,B
1150,SUMMER 15,MA,441,Math Methods Engr & Physics I,B
1151,FALL 13,MA,111,College Math for Aviation I,C
1151,SPRING 14,MA,112,College Math for Aviation II,C
1152,FALL 13,MA,6,Intermediate Algebra,B
1152,SPRING 14,MA,111,College Math for Aviation I,D
1153,FALL 13,MA,241,Calculus & Analytical Geom I,A
1153,SPRING 14,MA,242,Calculus & Analytical Geom II,B
1153,FALL 14,MA,243,Calculus & Analytical Geom III,C
1153,SPRING 15,MA,345,Differential Eq & Matrix Meth,D
1154,FALL 13,MA,4,Intro & Interm Algebra,C
1154,SPRING 14,MA,111,College Math for Aviation I,D
1154,SPRING 15,MA,222,Business Statistics,B
1155,FALL 13,MA,6,Intermediate Algebra,B
1155,SPRING 14,MA,111,College Math for Aviation I,A
1157,FALL 13,MA,4,Beginning Algebra,W
1157,FALL 14,MA,6,Intermediate Algebra,W
1158,FALL 13,MA,243HON,Calc & Analytical Geometry III,B
1158,SPRING 14,MA,345HON,Differential Eq & Matrix Meth,B
1158,FALL 14,MA,441,Math Methods Engr & Physics I,A
1159,SUMMER 13,MA,6,Intermediate Algebra,A
1159,FALL 13,MA,111,College Math for Aviation I,B
1159,SPRING 14,MA,112,College Math for Aviation II,B
1160,FALL 13,MA,143,Precalculus Essentials,C
1160,SPRING 14,MA,241,Calculus & Analytical Geom I,F
1160,SUMMER 14,MA,241,Calculus & Analytical Geom I,F
1161,FALL 13,MA,112,College Math for Aviation II,B
1162,FALL 13,MA,6,Intermediate Algebra,B
1162,SPRING 14,MA,111,College Math for Aviation I,D
1162,FALL 14,MA,112,College Math for Aviation II,C
1164,FALL 13,MA,112,College Math for Aviation II,A
1165,FALL 13,MA,111,College Math for Aviation I,A
1165,SPRING 14,MA,241,Calculus & Analytical Geom I,C
1166,FALL 13,MA,6,Intermediate Algebra,C
1166,SPRING 14,MA,143,Precalculus Essentials,D
1167,FALL 13,MA,111,College Math for Aviation I,A
1167,SPRING 14,MA,112,College Math for Aviation II,B
1168,FALL 13,MA,143,Precalculus Essentials,B
1168,SPRING 14,MA,241,Calculus & Analytical Geom I,B
1168,FALL 14,MA,242,Calculus & Analytical Geom II,B
1168,SPRING 15,MA,243,Calculus & Analytical Geom III,B
1169,FALL 13,MA,143,Precalculus Essentials,B
1169,SPRING 14,MA,241,Calculus & Analytical Geom I,B
1169,SPRING 15,MA,242,Calculus & Analytical Geom II,C
1170,FALL 13,MA,242,Calculus & Analytical Geom II,B
1170,SPRING 14,MA,243,Calculus & Analytical Geom III,A
1170,FALL 14,MA,345,Differential Eq & Matrix Meth,B
1171,FALL 13,MA,242,Calculus & Analytical Geom II,A
1171,SPRING 14,MA,243,Calculus & Analytical Geom III,B
1171,FALL 14,MA,345HON,Differential Eq & Matrix Meth,B
1172,FALL 13,MA,241,Calculus & Analytical Geom I,C
1172,SPRING 14,MA,242,Calculus & Analytical Geom II,F
1173,FALL 13,MA,143,Precalculus Essentials,D
1173,SPRING 14,MA,241,Calculus & Analytical Geom I,D
1173,FALL 14,MA,241,Calculus & Analytical Geom I,C
1173,SPRING 15,MA,242,Calculus & Analytical Geom II,D
1174,FALL 13,MA,241,Calculus & Analytical Geom I,A
1174,SPRING 14,MA,242,Calculus & Analytical Geom II,C
1174,FALL 14,MA,243,Calculus & Analytical Geom III,B
1174,SPRING 15,MA,345,Differential Eq & Matrix Meth,F
1175,FALL 13,MA,111,College Math for Aviation I,D
1175,SPRING 14,MA,112,College Math for Aviation II,D
1175,FALL 14,MA,111,College Math for Aviation I,B
1175,SPRING 15,MA,222,Business Statistics,C
1176,FALL 13,MA,241,Calculus & Analytical Geom I,B
1176,SPRING 14,MA,242,Calculus & Analytical Geom II,A
1176,FALL 14,MA,243HON,Calc & Analytical Geometry III,C
1176,SPRING 15,MA,345,Differential Eq & Matrix Meth,B
1177,FALL 13,MA,4,Beginning Algebra,B
1177,SPRING 14,MA,111,College Math for Aviation I,B
1177,FALL 14,MA,112,College Math for Aviation II,D
1178,FALL 13,MA,111,College Math for Aviation I,B
1178,SPRING 14,MA,112,College Math for Aviation II,B
1179,FALL 13,MA,112,College Math for Aviation II,B
1180,FALL 13,MA,241,Calculus & Analytical Geom I,A
1180,SPRING 14,MA,242,Calculus & Analytical Geom II,AU
1180,FALL 14,MA,242,Calculus & Analytical Geom II,C
1180,SPRING 15,MA,243,Calculus & Analytical Geom III,F
1181,FALL 13,MA,112,College Math for Aviation II,D
1181,SPRING 15,MA,112,College Math for Aviation II,B
1182,FALL 13,MA,241,Calculus & Analytical Geom I,W
1182,SPRING 14,MA,241,Calculus & Analytical Geom I,F
1183,FALL 13,MA,111,College Math for Aviation I,B
1184,FALL 13,MA,143,Precalculus Essentials,C
1184,SPRING 14,MA,241,Calculus & Analytical Geom I,B
1184,SUMMER 14,MA,242,Calculus & Analytical Geom II,C
1184,FALL 14,MA,243,Calculus & Analytical Geom III,C
1184,SPRING 15,MA,345,Differential Eq & Matrix Meth,F
1185,FALL 13,MA,241,Calculus & Analytical Geom I,W
1186,FALL 13,MA,6,Intermediate Algebra,A
1186,SPRING 14,MA,143,Precalculus Essentials,D
1186,FALL 14,MA,241,Calculus & Analytical Geom I,W
1186,SPRING 15,MA,241,Calculus & Analytical Geom I,C
1186,SUMMER 15,MA,242,Calculus & Analytical Geom II,C
1187,FALL 13,MA,111,College Math for Aviation I,B
1188,FALL 13,MA,242,Calculus & Analytical Geom II,A
1188,SPRING 14,MA,243,Calculus & Analytical Geom III,A
1188,FALL 14,MA,345,Differential Eq & Matrix Meth,C
1188,SPRING 15,MA,441,Math Methods Engr & Physics I,B
1189,FALL 13,MA,241,Calculus & Analytical Geom I,B
1189,SPRING 14,MA,242,Calculus & Analytical Geom II,B
1189,FALL 14,MA,243,Calculus & Analytical Geom III,A
1189,SPRING 15,MA,345,Differential Eq & Matrix Meth,B
1190,FALL 13,MA,241,Calculus & Analytical Geom I,B
1190,SPRING 14,MA,242,Calculus & Analytical Geom II,B
1190,FALL 14,MA,243,Calculus & Analytical Geom III,A
1190,SPRING 15,MA,345,Differential Eq & Matrix Meth,A
1191,FALL 13,MA,111,College Math for Aviation I,B
1191,SPRING 14,MA,112,College Math for Aviation II,C
1192,FALL 13,MA,243HON,Calc & Analytical Geometry III,B
1192,SPRING 14,MA,345HON,Differential Eq & Matrix Meth,B
1193,FALL 13,MA,6,Intermediate Algebra,B
1193,SPRING 14,MA,111,College Math for Aviation I,B
1193,FALL 14,MA,112,College Math for Aviation II,B
1194,FALL 13,MA,6,Intermediate Algebra,F
1194,SPRING 14,MA,6,Intermediate Algebra,B
1195,FALL 13,MA,111,College Math for Aviation I,C
1195,SPRING 14,MA,112,College Math for Aviation II,W
1195,SPRING 15,MA,112,College Math for Aviation II,C
1196,FALL 13,MA,6,Intermediate Algebra,C
1196,SPRING 14,MA,111,College Math for Aviation I,F
1197,FALL 13,MA,241,Calculus & Analytical Geom I,A
1197,SPRING 14,MA,242,Calculus & Analytical Geom II,B
1198,FALL 13,MA,241,Calculus & Analytical Geom I,B
1198,SPRING 14,MA,242,Calculus & Analytical Geom II,F
1199,FALL 13,MA,111,College Math for Aviation I,D
1200,FALL 13,MA,241,Calculus & Analytical Geom I,B
1200,SPRING 14,MA,242,Calculus & Analytical Geom II,D
1200,FALL 14,MA,243,Calculus & Analytical Geom III,D
1200,SPRING 15,MA,345,Differential Eq & Matrix Meth,D
1201,FALL 13,MA,111,College Math for Aviation I,F
1201,SPRING 14,MA,111,College Math for Aviation I,D
1201,SPRING 15,MA,112,College Math for Aviation II,AU
1201,SUMMER 15,MA,112,College Math for Aviation II,F
1202,FALL 13,MA,241,Calculus & Analytical Geom I,A
1202,SPRING 14,MA,242,Calculus & Analytical Geom II,D
1202,FALL 14,MA,242,Calculus & Analytical Geom II,B
1202,SPRING 15,MA,243,Calculus & Analytical Geom III,C
1202,SUMMER 15,MA,345,Differential Eq & Matrix Meth,C
1203,FALL 13,MA,143,Precalculus Essentials,W
1204,FALL 13,MA,112,College Math for Aviation II,A
1205,FALL 13,MA,143,Precalculus Essentials,B
1205,SPRING 14,MA,241,Calculus & Analytical Geom I,A
1205,FALL 14,MA,242,Calculus & Analytical Geom II,AU
1205,SPRING 15,MA,242,Calculus & Analytical Geom II,B
1206,FALL 13,MA,242,Calculus & Analytical Geom II,A
1206,SPRING 14,MA,243,Calculus & Analytical Geom III,A
1206,FALL 14,MA,345,Differential Eq & Matrix Meth,C
1206,SPRING 15,MA,441,Math Methods Engr & Physics I,B
1207,FALL 13,MA,241,Calculus & Analytical Geom I,A
1207,FALL 14,MA,242,Calculus & Analytical Geom II,C
1208,FALL 13,MA,6,Intermediate Algebra,C
1208,SPRING 14,MA,111,College Math for Aviation I,C
1208,FALL 14,MA,112,College Math for Aviation II,F
1208,SPRING 15,MA,112,College Math for Aviation II,F
1208,SUMMER 15,MA,112,College Math for Aviation II,B
1209,FALL 13,MA,241,Calculus & Analytical Geom I,C
1209,SPRING 14,MA,242,Calculus & Analytical Geom II,C
1209,FALL 14,MA,243,Calculus & Analytical Geom III,C
1209,SPRING 15,MA,345,Differential Eq & Matrix Meth,A
1210,FALL 13,MA,6,Intermediate Algebra,A
1210,SPRING 14,MA,111,College Math for Aviation I,A
1210,FALL 14,MA,112,College Math for Aviation II,B
1211,SUMMER 13,MA,6,Intermediate Algebra,B
1211,FALL 13,MA,111,College Math for Aviation I,D
1211,SPRING 14,MA,112,College Math for Aviation II,AU
1212,FALL 13,MA,6,Intermediate Algebra,C
1213,FALL 13,MA,241,Calculus & Analytical Geom I,W
1213,SPRING 14,MA,241,Calculus & Analytical Geom I,C
1213,FALL 14,MA,243,Calculus & Analytical Geom III,C
1213,SPRING 15,MA,345,Differential Eq & Matrix Meth,D
1214,SUMMER 13,MA,241,Calculus & Analytical Geom I,B
1214,FALL 13,MA,242,Calculus & Analytical Geom II,F
1214,SPRING 14,MA,242,Calculus & Analytical Geom II,F
1214,FALL 14,MA,242,Calculus & Analytical Geom II,B
1214,SPRING 15,MA,243,Calculus & Analytical Geom III,D
1215,FALL 13,MA,112,College Math for Aviation II,C
1216,FALL 13,MA,6,Intermediate Algebra,W
1216,SPRING 14,MA,6,Intermediate Algebra,F
1217,FALL 13,MA,242,Calculus & Analytical Geom II,A
1217,SPRING 14,MA,243,Calculus & Analytical Geom III,A
1217,FALL 14,MA,345,Differential Eq & Matrix Meth,A
1217,SPRING 15,MA,441,Math Methods Engr & Physics I,A
1218,FALL 13,MA,241,Calculus & Analytical Geom I,AU
1219,FALL 13,MA,112,College Math for Aviation II,A
1220,FALL 13,MA,4,Beginning Algebra,C
1220,SPRING 14,MA,111,College Math for Aviation I,F
1220,SUMMER 14,MA,111,College Math for Aviation I,B
1220,FALL 14,MA,112,College Math for Aviation II,F
1220,SPRING 15,MA,112,College Math for Aviation II,C
1221,FALL 13,MA,112,College Math for Aviation II,A
1223,FALL 13,MA,143,Precalculus Essentials,B
1223,SPRING 14,MA,241,Calculus & Analytical Geom I,B
1223,FALL 14,MA,242,Calculus & Analytical Geom II,AU
1223,SPRING 15,MA,242,Calculus & Analytical Geom II,B
1224,FALL 13,MA,6,Intermediate Algebra,B
1224,SPRING 14,MA,111,College Math for Aviation I,W
1225,FALL 13,MA,241,Calculus & Analytical Geom I,D
1225,SPRING 14,MA,241,Calculus & Analytical Geom I,B
1225,FALL 14,MA,242,Calculus & Analytical Geom II,AU
1225,SPRING 15,MA,242,Calculus & Analytical Geom II,C
1226,FALL 13,MA,241,Calculus & Analytical Geom I,B
1226,SPRING 14,MA,242,Calculus & Analytical Geom II,B
1226,FALL 14,MA,243,Calculus & Analytical Geom III,A
1227,FALL 13,MA,241,Calculus & Analytical Geom I,A
1227,SPRING 14,MA,242,Calculus & Analytical Geom II,A
1227,FALL 14,MA,243,Calculus & Analytical Geom III,A
1227,SPRING 15,MA,345,Differential Eq & Matrix Meth,A
1228,FALL 13,MA,242,Calculus & Analytical Geom II,B
1228,SPRING 14,MA,243HON,Calc & Analytical Geometry III,C
1228,FALL 14,MA,345HON,Differential Eq & Matrix Meth,B
1228,SPRING 15,MA,441,Math Methods Engr & Physics I,A
1229,FALL 13,MA,241,Calculus & Analytical Geom I,C
1229,SPRING 14,MA,242,Calculus & Analytical Geom II,B
1229,FALL 14,MA,243,Calculus & Analytical Geom III,C
1229,SPRING 15,MA,345,Differential Eq & Matrix Meth,A
1230,FALL 13,MA,143,Precalculus Essentials,C
1230,FALL 14,MA,112,College Math for Aviation II,W
1231,FALL 13,MA,112,College Math for Aviation II,A
1231,SPRING 15,MA,111,College Math for Aviation I,A
1232,FALL 13,MA,111,College Math for Aviation I,B
1232,SPRING 14,MA,112,College Math for Aviation II,C
1233,FALL 13,MA,220,Quantitative Methods II,A
1234,FALL 13,MA,241,Calculus & Analytical Geom I,AU
1235,FALL 13,MA,111,College Math for Aviation I,B
1235,SPRING 14,MA,112,College Math for Aviation II,C
1236,FALL 13,MA,241,Calculus & Analytical Geom I,F
1236,SPRING 14,MA,241,Calculus & Analytical Geom I,B
1236,FALL 14,MA,242,Calculus & Analytical Geom II,C
1237,FALL 13,MA,6,Intermediate Algebra,F
1237,SPRING 14,MA,6,Intermediate Algebra,C
1237,FALL 14,MA,111,College Math for Aviation I,F
1237,SPRING 15,MA,111,College Math for Aviation I,C
1238,FALL 13,MA,243HON,Calc & Analytical Geometry III,A
1238,SPRING 14,MA,345HON,Differential Eq & Matrix Meth,A
1238,SUMMER 15,MA,441,Math Methods Engr & Physics I,A
1239,FALL 13,MA,6,Intermediate Algebra,A
1239,SPRING 14,MA,143,Precalculus Essentials,B
1239,FALL 14,MA,241,Calculus & Analytical Geom I,D
1239,SPRING 15,MA,241,Calculus & Analytical Geom I,D
1240,FALL 13,MA,241,Calculus & Analytical Geom I,F
1240,SPRING 14,MA,241,Calculus & Analytical Geom I,F
1241,FALL 13,MA,6,Intermediate Algebra,B
1241,SPRING 14,MA,111,College Math for Aviation I,D
1241,SPRING 15,MA,111,College Math for Aviation I,C
1242,FALL 13,MA,120,Quantitative Methods I,W
1242,SPRING 14,MA,6,Intermediate Algebra,F
1243,FALL 13,MA,242,Calculus & Analytical Geom II,B
1243,SPRING 14,MA,243HON,Calc & Analytical Geometry III,C
1243,FALL 14,MA,345HON,Differential Eq & Matrix Meth,B
1244,FALL 13,MA,4,Intro & Interm Algebra,C
1244,SPRING 14,MA,111,College Math for Aviation I,D
1244,FALL 14,MA,112,College Math for Aviation II,F
1244,SPRING 15,MA,112,College Math for Aviation II,D
1245,SPRING 14,MA,222,Business Statistics,A
1245,SPRING 15,MA,111,College Math for Aviation I,A
1246,FALL 13,MA,241,Calculus & Analytical Geom I,A
1246,SPRING 14,MA,242,Calculus & Analytical Geom II,A
1246,FALL 14,MA,243,Calculus & Analytical Geom III,A
1246,SPRING 15,MA,345,Differential Eq & Matrix Meth,A
1247,FALL 13,MA,6,Intermediate Algebra,F
1247,SPRING 14,MA,6,Intermediate Algebra,F
1248,FALL 13,MA,241,Calculus & Analytical Geom I,F
1248,SPRING 14,MA,241,Calculus & Analytical Geom I,B
1248,SUMMER 14,MA,242,Calculus & Analytical Geom II,D
1249,FALL 13,MA,241,Calculus & Analytical Geom I,B
1249,SPRING 14,MA,242,Calculus & Analytical Geom II,B
1249,FALL 14,MA,243,Calculus & Analytical Geom III,C
1249,SPRING 15,MA,345,Differential Eq & Matrix Meth,B
1250,FALL 13,MA,111,College Math for Aviation I,W
1251,FALL 13,MA,143,Precalculus Essentials,D
1252,FALL 13,MA,241,Calculus & Analytical Geom I,D
1252,SPRING 14,MA,241,Calculus & Analytical Geom I,B
1252,SUMMER 14,MA,242,Calculus & Analytical Geom II,AU
1252,FALL 14,MA,242,Calculus & Analytical Geom II,F
1252,SPRING 15,MA,222,Business Statistics,B
1253,FALL 13,MA,4,Intro & Interm Algebra,A
1253,SPRING 14,MA,111,College Math for Aviation I,C
1253,FALL 14,MA,112,College Math for Aviation II,F
1253,SPRING 15,MA,112,College Math for Aviation II,D
1254,FALL 13,MA,242,Calculus & Analytical Geom II,B
1254,SPRING 14,MA,243,Calculus & Analytical Geom III,A
1254,FALL 14,MA,345,Differential Eq & Matrix Meth,B
1254,SPRING 15,MA,441,Math Methods Engr & Physics I,B
1255,FALL 13,MA,242,Calculus & Analytical Geom II,W
1255,SUMMER 14,MA,242,Calculus & Analytical Geom II,B
1255,FALL 14,MA,243,Calculus & Analytical Geom III,D
1255,SPRING 15,MA,222,Business Statistics,A
1256,FALL 13,MA,143,Precalculus Essentials,D
1256,SPRING 14,MA,143,Precalculus Essentials,A
1257,FALL 13,MA,111,College Math for Aviation I,B
1257,SPRING 14,MA,112,College Math for Aviation II,C
1258,FALL 13,MA,143,Precalculus Essentials,C
1258,SPRING 14,MA,241,Calculus & Analytical Geom I,B
1258,FALL 14,MA,242,Calculus & Analytical Geom II,D
1258,SPRING 15,MA,243,Calculus & Analytical Geom III,F
1259,FALL 13,MA,111,College Math for Aviation I,A
1259,SPRING 14,MA,112,College Math for Aviation II,B
1260,FALL 13,MA,111,College Math for Aviation I,B
1260,SPRING 14,MA,112,College Math for Aviation II,B
1261,FALL 13,MA,243,Calculus & Analytical Geom III,C
1261,SPRING 14,MA,345,Differential Eq & Matrix Meth,A
1261,SUMMER 14,MA,441,Math Methods Engr & Physics I,C
1261,SUMMER 14,MA,412,Probability and Statistics,B
1262,FALL 13,MA,6,Intermediate Algebra,F
1262,SPRING 14,MA,6,Intermediate Algebra,F
1262,FALL 14,MA,6,Intermediate Algebra,B
1263,FALL 13,MA,6,Intermediate Algebra,W
1264,FALL 13,MA,241,Calculus & Analytical Geom I,B
1264,SPRING 14,MA,242,Calculus & Analytical Geom II,D
1264,SUMMER 14,MA,242,Calculus & Analytical Geom II,C
1264,FALL 14,MA,243,Calculus & Analytical Geom III,F
1264,SPRING 15,MA,243,Calculus & Analytical Geom III,W
1265,FALL 13,MA,143,Precalculus Essentials,C
1265,SPRING 14,MA,112,College Math for Aviation II,C
1266,FALL 13,MA,241,Calculus & Analytical Geom I,C
1266,SPRING 14,MA,242,Calculus & Analytical Geom II,C
1266,FALL 14,MA,243,Calculus & Analytical Geom III,F
1267,FALL 13,MA,6,Intermediate Algebra,A
1267,SPRING 14,MA,111,College Math for Aviation I,C
1267,FALL 14,MA,112,College Math for Aviation II,F
1267,SPRING 15,MA,112,College Math for Aviation II,D
1268,FALL 13,MA,6,Intermediate Algebra,C
1269,FALL 13,MA,143,Precalculus Essentials,C
1269,SPRING 14,MA,241,Calculus & Analytical Geom I,C
1269,FALL 14,MA,242,Calculus & Analytical Geom II,AU
1269,SPRING 15,MA,242,Calculus & Analytical Geom II,B
1269,SUMMER 15,MA,243,Calculus & Analytical Geom III,B
1270,FALL 13,MA,111,College Math for Aviation I,C
1270,SPRING 14,MA,112,College Math for Aviation II,F
1270,SUMMER 14,MA,112,College Math for Aviation II,C
1271,FALL 13,MA,143,Precalculus Essentials,A
1271,SPRING 14,MA,241,Calculus & Analytical Geom I,C
1271,SPRING 15,MA,242,Calculus & Analytical Geom II,C
1271,SUMMER 15,MA,243,Calculus & Analytical Geom III,B
1272,FALL 13,MA,4,Intro & Interm Algebra,F
1273,FALL 13,MA,6,Intermediate Algebra,A
1273,SPRING 14,MA,111,College Math for Aviation I,A
1273,FALL 14,MA,112,College Math for Aviation II,B
1274,FALL 13,MA,241,Calculus & Analytical Geom I,A
1274,SPRING 14,MA,242,Calculus & Analytical Geom II,A
1274,FALL 14,MA,243,Calculus & Analytical Geom III,B
1274,SPRING 15,MA,345,Differential Eq & Matrix Meth,A
1275,FALL 13,MA,242,Calculus & Analytical Geom II,A
1275,SPRING 14,MA,243,Calculus & Analytical Geom III,A
1275,FALL 14,MA,345,Differential Eq & Matrix Meth,A
1275,SPRING 15,MA,441,Math Methods Engr & Physics I,B
1276,FALL 13,MA,6,Intermediate Algebra,B
1276,SPRING 14,MA,143,Precalculus Essentials,D
1277,FALL 13,MA,243,Calculus & Analytical Geom III,A
1277,SPRING 14,MA,345,Differential Eq & Matrix Meth,A
1277,FALL 14,MA,441,Math Methods Engr & Physics I,A
1277,SPRING 15,MA,442,Math Methods Engr & Physics II,W
1278,FALL 13,MA,241,Calculus & Analytical Geom I,C
1278,SPRING 14,MA,242,Calculus & Analytical Geom II,D
1279,FALL 13,MA,242,Calculus & Analytical Geom II,B
1279,SPRING 14,MA,243,Calculus & Analytical Geom III,B
1279,FALL 14,MA,345,Differential Eq & Matrix Meth,C
1279,SPRING 15,MA,441,Math Methods Engr & Physics I,B
1280,FALL 13,MA,143,Precalculus Essentials,F
1280,SPRING 14,MA,143,Precalculus Essentials,FX
1281,FALL 13,MA,112,College Math for Aviation II,A
1282,FALL 13,MA,6,Intermediate Algebra,C
1282,SPRING 14,MA,111,College Math for Aviation I,D
1282,FALL 14,MA,112,College Math for Aviation II,C
1283,FALL 13,MA,143,Precalculus Essentials,W
1283,FALL 14,MA,111,College Math for Aviation I,D
1283,SPRING 15,MA,112,College Math for Aviation II,C
1284,FALL 13,MA,241,Calculus & Analytical Geom I,F
1284,SPRING 14,MA,241,Calculus & Analytical Geom I,C
1285,SPRING 14,MA,112,College Math for Aviation II,F
1287,FALL 13,MA,241,Calculus & Analytical Geom I,D
1288,FALL 13,MA,143,Precalculus Essentials,A
1288,SPRING 14,MA,241,Calculus & Analytical Geom I,A
1288,SUMMER 14,MA,242,Calculus & Analytical Geom II,A
1288,FALL 14,MA,243,Calculus & Analytical Geom III,B
1290,FALL 13,MA,111,College Math for Aviation I,D
1290,SPRING 14,MA,112,College Math for Aviation II,F
1291,FALL 13,MA,6,Intermediate Algebra,F
1292,FALL 13,MA,242,Calculus & Analytical Geom II,B
1292,SPRING 14,MA,243,Calculus & Analytical Geom III,A
1292,FALL 14,MA,345,Differential Eq & Matrix Meth,A
1292,SPRING 15,MA,441,Math Methods Engr & Physics I,C
1294,FALL 13,MA,241,Calculus & Analytical Geom I,C
1295,FALL 13,MA,241,Calculus & Analytical Geom I,A
1295,SPRING 14,MA,242,Calculus & Analytical Geom II,C
1295,FALL 14,MA,243HON,Calc & Analytical Geometry III,A
1295,SPRING 15,MA,345,Differential Eq & Matrix Meth,A
1296,FALL 13,MA,241,Calculus & Analytical Geom I,B
1296,SPRING 14,MA,242,Calculus & Analytical Geom II,B
1296,FALL 14,MA,243HON,Calc & Analytical Geometry III,C
1296,SPRING 15,MA,345,Differential Eq & Matrix Meth,C
1297,FALL 13,MA,112,College Math for Aviation II,D
1298,FALL 13,MA,241,Calculus & Analytical Geom I,B
1298,SPRING 14,MA,242,Calculus & Analytical Geom II,B
1298,FALL 14,MA,243,Calculus & Analytical Geom III,C
1298,SPRING 15,MA,345,Differential Eq & Matrix Meth,C
1299,FALL 13,MA,6,Intermediate Algebra,B
1299,SPRING 14,MA,111,College Math for Aviation I,B
1299,SUMMER 14,MA,112,College Math for Aviation II,B
1300,FALL 13,MA,241,Calculus & Analytical Geom I,A
1300,SPRING 14,MA,242,Calculus & Analytical Geom II,C
1300,FALL 14,MA,243,Calculus & Analytical Geom III,D
1300,SPRING 15,MA,345,Differential Eq & Matrix Meth,D
1301,FALL 13,MA,143,Precalculus Essentials,C
1301,SPRING 14,MA,241,Calculus & Analytical Geom I,B
1301,FALL 14,MA,242,Calculus & Analytical Geom II,D
1301,SPRING 15,MA,242,Calculus & Analytical Geom II,A
1302,FALL 13,MA,241,Calculus & Analytical Geom I,A
1302,FALL 14,MA,242,Calculus & Analytical Geom II,B
1302,SPRING 15,MA,243,Calculus & Analytical Geom III,B
1303,FALL 13,MA,4,Beginning Algebra,C
1305,FALL 13,MA,143,Precalculus Essentials,B
1305,SPRING 14,MA,241,Calculus & Analytical Geom I,B
1305,FALL 14,MA,242,Calculus & Analytical Geom II,C
1305,SPRING 15,MA,243,Calculus & Analytical Geom III,B
1306,FALL 13,MA,112,College Math for Aviation II,B
1307,FALL 13,MA,143,Precalculus Essentials,W
1308,FALL 13,MA,241,Calculus & Analytical Geom I,C
1308,SPRING 14,MA,242,Calculus & Analytical Geom II,B
1308,FALL 14,MA,243,Calculus & Analytical Geom III,D
1308,SPRING 15,MA,243,Calculus & Analytical Geom III,D
1309,FALL 13,MA,241,Calculus & Analytical Geom I,F
1309,SPRING 14,MA,241,Calculus & Analytical Geom I,F
1310,FALL 13,MA,241,Calculus & Analytical Geom I,AU
1311,FALL 13,MA,6,Intermediate Algebra,F
1311,SPRING 14,MA,6,Intermediate Algebra,F
1311,SUMMER 14,MA,6,Intermediate Algebra,A
1311,FALL 14,MA,143,Precalculus Essentials,W
1312,FALL 13,MA,242,Calculus & Analytical Geom II,A
1312,SPRING 14,MA,243,Calculus & Analytical Geom III,A
1312,FALL 14,MA,345,Differential Eq & Matrix Meth,C
1313,FALL 13,MA,241,Calculus & Analytical Geom I,C
1313,SPRING 14,MA,242,Calculus & Analytical Geom II,F
1313,FALL 14,MA,242,Calculus & Analytical Geom II,C
1314,FALL 13,MA,241,Calculus & Analytical Geom I,A
1314,SPRING 14,MA,242,Calculus & Analytical Geom II,A
1314,FALL 14,MA,243,Calculus & Analytical Geom III,A
1314,SPRING 15,MA,345,Differential Eq & Matrix Meth,A
1315,FALL 13,MA,242,Calculus & Analytical Geom II,D
1315,SPRING 14,MA,242,Calculus & Analytical Geom II,B
1315,FALL 14,MA,243,Calculus & Analytical Geom III,B
1315,SPRING 15,MA,345,Differential Eq & Matrix Meth,B
1316,FALL 13,MA,241,Calculus & Analytical Geom I,A
1316,SPRING 14,MA,242,Calculus & Analytical Geom II,A
1316,FALL 14,MA,243,Calculus & Analytical Geom III,C
1317,FALL 13,MA,112,College Math for Aviation II,A
1318,FALL 13,MA,112,College Math for Aviation II,B
1319,FALL 13,MA,112,College Math for Aviation II,A
1320,FALL 13,MA,143,Precalculus Essentials,B
1320,SPRING 14,MA,241,Calculus & Analytical Geom I,C
1321,FALL 13,MA,241,Calculus & Analytical Geom I,D
1321,SPRING 14,MA,241,Calculus & Analytical Geom I,B
1321,FALL 14,MA,242,Calculus & Analytical Geom II,F
1322,FALL 13,MA,242,Calculus & Analytical Geom II,A
1322,SPRING 14,MA,243,Calculus & Analytical Geom III,A
1322,FALL 14,MA,345,Differential Eq & Matrix Meth,B
1322,SPRING 15,MA,441,Math Methods Engr & Physics I,B
1323,FALL 13,MA,241,Calculus & Analytical Geom I,F
1324,SPRING 14,MA,243HON,Calc & Analytical Geometry III,C
1324,FALL 14,MA,345,Differential Eq & Matrix Meth,A
1324,SPRING 15,MA,441,Math Methods Engr & Physics I,B
1325,FALL 13,MA,143,Precalculus Essentials,B
1325,SPRING 14,MA,241,Calculus & Analytical Geom I,A
1325,FALL 14,MA,242,Calculus & Analytical Geom II,A
1325,SPRING 15,MA,243,Calculus & Analytical Geom III,A
1326,FALL 13,MA,241,Calculus & Analytical Geom I,A
1326,SPRING 14,MA,242,Calculus & Analytical Geom II,A
1326,FALL 14,MA,243,Calculus & Analytical Geom III,B
1326,SPRING 15,MA,345,Differential Eq & Matrix Meth,A
1327,FALL 13,MA,143,Precalculus Essentials,A
1328,FALL 13,MA,111,College Math for Aviation I,B
1328,SPRING 14,MA,112,College Math for Aviation II,C
1329,FALL 13,MA,241,Calculus & Analytical Geom I,A
1329,SPRING 14,MA,242,Calculus & Analytical Geom II,C
1329,FALL 14,MA,242,Calculus & Analytical Geom II,B
1329,FALL 14,MA,243,Calculus & Analytical Geom III,C
1329,SPRING 15,MA,345,Differential Eq & Matrix Meth,A
1330,FALL 13,MA,6,Intermediate Algebra,B
