CASENUM,hsgpa,SUPER V,SUPER M,Superset,STEMINDEX,NONSTEM INDEX,AL,FAR,SEX,ETHNIC,ACPROG1,termhrs,Math Tier,CRS1 ,CRS1 name,c1 grade,gradeN,C2 ID,C2 Name,C2 Grade,grade2N,1TG Bla,1TG zer,1T GD b,1T GD z,ACPROG2,Change,C F STEM,C T STEM,STEM1,CUMHRS2,CG Bla,CG 0,FG D b,FG D z,RATE,RATE.WSD
883,3.37,680,680,1330,4032,4026,1,0,2,7,BSAE,16,4,241,Calculus & Analytical Geom I,B,3,,,,,2.438,2.438,0.932,0.932,BSAE,1,0,0,1,44,2.058,2.058,1.312,1.312,N,S
896,1.7,610,610,1130,2760,2490,4,1,2,9,BSAE,17,4,241,Calculus & Analytical Geom I,A,4,,,,,2.882,2.882,-1.182,-1.182,BSAE,0,0,0,1,115,2.43,2.43,-0.73,-0.73,G,G
943,2.3,460,460,820,2660,2660,0,0,2,5,BSAE,16,1,6,Intermediate Algebra, ,0,,,,, ,0,,2.3,BSAE,0,0,0,1,0, ,0,,2.3,N,W
522,3.87,540,540,1080,3942,4176,4,1,2,7,BSAE,16,4,241,Calculus & Analytical Geom I,B,3,,,,,3.563,3.563,0.307,0.307,BSAE,0,0,0,1,132,2.958,2.958,0.912,0.912,G,G
99,3.95,720,720,1440,4530,4600,0,0,2,7,BSAE,16,4,242,Calculus & Analytical Geom II,A,4,,,,,4,4,-0.05,-0.05,BSAE,0,0,0,1,133,2.963,2.963,0.987,0.987,G,G
327,2.93,590,590,1090,3438,3434,3,1,2,7,BSAE,15,4,140,College Algebra,B,3,142,Trigonometry,C,2,2.2,2.2,0.73,0.73,BSAE,0,0,0,1,123,2.748,2.748,0.182,0.182,G,G
891,3,510,460,970,3230,3370,1,0,2,5,BSAE,16,4,241,Calculus & Analytical Geom I,C,2,,,,,2.2,2.2,0.8,0.8,BSAE,1,0,0,1,10,2.2,2.2,0.8,0.8,N,S
359,3.38,760,760,1500,4288,4204,4,1,2,7,BSAE,16,4,242,Calculus & Analytical Geom II,D,1,,,,,2,2,1.38,1.38,BSAE,0,0,0,1,0, ,0,,3.38,N,W
835,3.72,710,710,1340,4282,4316,2,1,2,7,BSAE,17,4,241,Calculus & Analytical Geom I,F,0,,,,,1.571,1.571,2.149,2.149,BSAE,0,0,0,1,0, ,0,,3.72,N,W
922,4,540,680,1220,4300,4420,4,1,2,7,BSAE,14,4,242,Calculus & Analytical Geom II,A,4,,,,,4,4,0,0,BSAE,0,0,0,1,124,3.91,3.91,0.09,0.09,G,G
449,3.36,510,440,950,3406,3638,0,0,1,2,BSAE,17,4,241,Calculus & Analytical Geom I,F,0,,,,,0.643,0.643,2.717,2.717,BSASP,1,1,0,1,4,0.643,0.643,2.717,2.717,N,S
307,3.15,630,580,1210,3680,3730,4,1,1,7,BSAE,16,4,241,Calculus & Analytical Geom I,C,2,,,,,2.125,2.125,1.025,1.025,BSCE,0,0,0,1,25,1.344,1.344,1.806,1.806,N,S
41,3.47,520,520,1030,3632,3806,4,1,2,7,BSAE,16,1,6,Intermediate Algebra,B,3,,,,,3.067,3.067,0.403,0.403,BSAS,1,1,0,1,33,3.148,3.148,0.322,0.322,N,W
103,3.5,520,720,1240,4060,4040,2,1,2,7,BSAE,16,4,242,Calculus & Analytical Geom II,B,3,,,,,2.813,2.813,0.687,0.687,BSAE,1,0,0,1,140,2.831,2.831,0.669,0.669,G,G
249,2.19,720,720,1260,3294,3012,3,1,2,2,BSAE,17,4,241,Calculus & Analytical Geom I,B,3,,,,,1.643,1.643,0.547,0.547,BSAE,0,0,0,1,10,1.643,1.643,0.547,0.547,N,S
748,3.75,650,650,1210,4110,4210,3,1,2,5,BSAE,16,4,241,Calculus & Analytical Geom I,A,4,,,,,3.688,3.688,0.062,0.062,BSAE,1,0,0,1,123,2.725,2.725,1.025,1.025,G,G
256,4,700,640,1340,4380,4540,3,1,1,7,BSAE,16,4,243,Calculus & Analytical Geom III,A,4,,,,,3.625,3.625,0.375,0.375,BSAE,1,0,0,1,120,3.591,3.591,0.409,0.409,G,G
767,3.28,450,580,1030,3578,3654,3,1,2,7,BSAE,16,4,241,Calculus & Analytical Geom I,D,1,,,,,1.938,1.938,1.342,1.342,BSCIV,1,0,0,1,125,2.708,2.708,0.572,0.572,G,G
94,3,450,390,840,3030,3240,0,0,1,2,BSAE,16,1,6,Intermediate Algebra,F,0,,,,,1.5,1.5,1.5,1.5,BSAE,0,0,0,1,58,1.878,1.878,1.122,1.122,N,S
134,2.81,570,570,1060,3316,3308,0,0,2,7,BSME,16,4,241,Calculus & Analytical Geom I,D,1,,,,,1.538,1.538,1.272,1.272,BSME,1,0,0,1,18,1.538,1.538,1.272,1.272,N,S
448,3.86,610,620,1140,4076,4228,4,1,2,2,BSAE,16,4,241,Calculus & Analytical Geom I,A,4,,,,,3.438,3.438,0.422,0.422,BSAE,0,0,0,1,117,2.919,2.919,0.941,0.941,G,G
733,2.89,650,650,1070,3454,3382,0,0,2,7,BSAE,16,4,241,Calculus & Analytical Geom I,B,3,,,,,2.875,2.875,0.015,0.015,BSAE,1,0,0,1,123,3.05,3.05,-0.16,-0.16,G,G
84,3.02,620,620,1180,3612,3596,4,1,2,7,BSAE,17,4,140,College Algebra,D,1,142,Trigonometry,D,1,1.429,1.429,1.591,1.591,BSAE,0,0,0,1,0, ,0,,3.02,N,W
35,3.84,730,630,1360,4294,4432,4,1,2,3,BSAE,15,4,241,Calculus & Analytical Geom I,A,4,,,,,3.714,3.714,0.126,0.126,BSSP,1,0,0,1,167,3.61,3.61,0.23,0.23,G,G
926,3.2,470,470,850,3240,3410,3,1,1,5,BSCE,17,4,241,Calculus & Analytical Geom I,F,0,,,,,1.143,1.143,2.057,2.057,BSCE,0,0,0,1,25,1.92,1.92,1.28,1.28,N,S
649,3.76,650,650,1170,4076,4178,0,0,2,7,BSAE,17,4,241,Calculus & Analytical Geom I,A,4,,,,,3.647,3.647,0.113,0.113,BSAE,0,0,0,1,24,3.647,3.647,0.113,0.113,N,W
55,3.7,490,490,910,3620,3870,3,1,2,2,BSAE,15,4,241,Calculus & Analytical Geom I,A,4,,,,,3.417,3.417,0.283,0.283,BSAE,1,0,0,1,63,2.905,2.905,0.795,0.795,N,W
685,2.95,570,570,1140,3480,3500,0,0,2,7,BSME,15,3,140,College Algebra,F,0,,,,,0.438,0.438,2.512,2.512,BSME,1,0,0,1,0, ,0,,2.95,N,W
618,2.9,610,610,1100,3450,3420,0,0,2,9,BSAE,16,4,241,Calculus & Analytical Geom I,D,1,,,,,1.615,1.615,1.285,1.285,BSBA,0,1,0,1,10,1.2,1.2,1.7,1.7,N,W
338,3.89,720,640,1360,4334,4472,2,1,2,7,BSCE,17,4,241,Calculus & Analytical Geom I,A,4,,,,,3.118,3.118,0.772,0.772,BSCE,0,0,0,1,72,3.117,3.117,0.773,0.773,N,W
705,3.01,570,570,1030,3406,3438,1,0,2,2,BSAE,15,4,140,College Algebra,B,3,142,Trigonometry,C,2,2.4,2.4,0.61,0.61,BSHFP,0,1,0,1,115,2.56,2.56,0.45,0.45,G,G
847,3.7,640,640,1260,4120,4220,1,0,2,4,BSAE,17,4,241,Calculus & Analytical Geom I,AU,0,,,,,1.308,1.308,2.392,2.392,BSAE,0,0,0,1,66,1.76,1.76,1.94,1.94,N,S
257,3.8,580,580,1160,4020,4200,1,1,2,7,BSAE,16,4,241,Calculus & Analytical Geom I,C,2,,,,,2.938,2.938,0.862,0.862,BSSS,1,1,0,1,127,3.729,3.729,0.071,0.071,G,G
162,3.3,520,520,960,3460,3600,0,0,2,2,BSAE,15,4,241,Calculus & Analytical Geom I,C,2,,,,,2.2,2.2,1.1,1.1,BSHS,0,1,0,1,113,2.864,2.864,0.436,0.436,G,G
620,3.21,700,580,1280,3786,3848,2,1,2,7,BSAE,16,4,241,Calculus & Analytical Geom I,C,2,,,,,2.188,2.188,1.022,1.022,BSAE,0,0,0,1,30,2.188,2.188,1.022,1.022,N,W
391,2.51,320,440,760,2706,2768,4,1,2,4,BSAEL,13,1,6,Intermediate Algebra,C,2,,,,,1.615,1.615,0.895,0.895,BSEE,1,0,0,1,149,1.97,1.97,0.54,0.54,G,G
46,3.83,770,720,1490,4508,4554,0,0,1,9,BSAE,17,5,345,Differential Eq & Matrix Meth,B,3,,,,,3.588,3.588,0.242,0.242,BSAE,0,0,0,1,142,3.356,3.356,0.474,0.474,G,G
263,3.41,780,780,1410,4236,4138,0,0,2,7,BSAE,16,4,243,Calculus & Analytical Geom III,B,3,,,,,3.188,3.188,0.222,0.222,BSAE,1,0,0,1,45,3.318,3.318,0.092,0.092,N,W
317,3.46,570,580,1150,3806,3918,0,0,1,7,BSAE,13,4,241,Calculus & Analytical Geom I,B,3,,,,,2.462,2.462,0.998,0.998,BSAE,0,0,0,1,0, ,0,,3.46,N,W
368,3,660,660,1110,3570,3510,2,1,2,7,BSAE,15,4,243,Calculus & Analytical Geom III,D,1,,,,,2.333,2.333,0.667,0.667,BSAE,0,0,0,1,0, ,0,,3,N,W
820,2.48,630,630,1120,3238,3104,4,1,2,7,BSAE,15,4,140,College Algebra,A,4,142,Trigonometry,A,4,3.8,3.8,-1.32,-1.32,BSAE,0,0,0,1,130,2.927,2.927,-0.447,-0.447,G,G
801,3.35,590,590,1150,3750,3830,0,0,2,7,BSCE,17,4,241,Calculus & Analytical Geom I,C,2,,,,,1.571,1.571,1.779,1.779,BSCS,0,0,0,1,8,1.571,1.571,1.779,1.779,N,W
519,3.86,590,590,1140,4046,4228,4,1,2,7,BSAE,15,4,242,Calculus & Analytical Geom II,B,3,,,,,3.2,3.2,0.66,0.66,BSAE,0,0,0,1,0, ,0,,3.86,N,W
778,2.66,570,570,1080,3246,3208,1,1,1,5,BSAE,14,4,241,Calculus & Analytical Geom I,C,2,,,,,2.571,2.571,0.089,0.089,BSEE,1,0,0,1,153,2.971,2.971,-0.311,-0.311,G,G
626,3.4,640,560,1200,3800,3920,4,1,2,7,BSAE,17,4,241,Calculus & Analytical Geom I,B,3,,,,,2.941,2.941,0.459,0.459,BSCE,0,0,0,1,128,3.322,3.322,0.078,0.078,G,G
442,3.91,730,730,1250,4326,4378,4,1,2,7,BSAE,16,4,242,Calculus & Analytical Geom II,A,4,,,,,3.5,3.5,0.41,0.41,BSAE,0,0,0,1,129,3.233,3.233,0.677,0.677,G,G
598,3.48,640,640,1200,3928,3984,1,0,2,7,BSAE,16,4,242,Calculus & Analytical Geom II,A,4,,,,,3.813,3.813,-0.333,-0.333,BSAE,0,0,0,1,114,3.518,3.518,-0.038,-0.038,G,G
578,3.42,610,610,1190,3852,3926,1,1,2,7,BSAE,15,4,241,Calculus & Analytical Geom I,D,1,,,,,2.583,2.583,0.837,0.837,BSBA,0,1,0,1,126,2.957,2.957,0.463,0.463,G,G
668,3.7,630,630,1150,4000,4110,0,0,1,7,BSSP,16,4,242,Calculus & Analytical Geom II,B,3,,,,,3.583,3.583,0.117,0.117,BSSP,0,0,0,1,111,3.233,3.233,0.467,0.467,G,G
