CASENUM,hsgpa,SUPER V,SUPER M,Superset,STEMINDEX,NONSTEM INDEX,AL,FAR,SEX,ETHNIC,ACPROG1,termhrs,Math Tier,CRS1 ,CRS1 name,c1 grade,gradeN,C2 ID,C2 Name,C2 Grade,grade2N,1TG Bla,1TG zer,1T GD b,1T GD z,ACPROG2,Change,C F STEM,C T STEM,STEM1,CUMHRS2,CG Bla,CG 0,FG D b,FG D z,RATE,RATE.WSD
438,3.41,430,430,850,3326,3578,4,1,2,2,BSAS,16,2,112,College Math for Aviation II,A,4,,,,,2.867,2.867,0.543,0.543,BSAS,0,0,0,0,21,2.867,2.867,0.543,0.543,N,W
249,2.19,720,720,1260,3294,3012,3,1,2,2,BSAE,17,4,241,Calculus & Analytical Geom I,B,3,,,,,1.643,1.643,0.547,0.547,BSAE,0,0,0,1,10,1.643,1.643,0.547,0.547,N,S
664,3.75,460,390,850,3490,3850,4,1,2,7,BSAS,16,1,5,Quantitative Skills,F,0,,,,,0.267,0.267,3.483,3.483,BSAS,0,0,0,0,0, ,0,,3.75,N,W
748,3.75,650,650,1210,4110,4210,3,1,2,5,BSAE,16,4,241,Calculus & Analytical Geom I,A,4,,,,,3.688,3.688,0.062,0.062,BSAE,1,0,0,1,123,2.725,2.725,1.025,1.025,G,G
660,3.75,530,510,1040,3800,4040,4,1,2,5,BSAS,15,2,111,College Math for Aviation I,D,1,,,,,2.357,2.357,1.393,1.393,BSAS,0,0,0,0,20,1.929,1.929,1.821,1.821,N,W
256,4,700,640,1340,4380,4540,3,1,1,7,BSAE,16,4,243,Calculus & Analytical Geom III,A,4,,,,,3.625,3.625,0.375,0.375,BSAE,1,0,0,1,120,3.591,3.591,0.409,0.409,G,G
767,3.28,450,580,1030,3578,3654,3,1,2,7,BSAE,16,4,241,Calculus & Analytical Geom I,D,1,,,,,1.938,1.938,1.342,1.342,BSCIV,1,0,0,1,125,2.708,2.708,0.572,0.572,G,G
224,3.6,440,460,850,3470,3730,3,1,2,7,BSAS,16,1,6,Intermediate Algebra,D,1,,,,,2.8,2.8,0.8,0.8,BSAS,1,0,0,0,111,2.721,2.721,0.879,0.879,G,G
904,3.64,620,520,1140,3844,4052,2,1,1,7,BSHS,13,2,112,College Math for Aviation II, ,0,,,,, ,0,,3.64,BSHS,1,0,0,0,0, ,0,,3.64,N,W
448,3.86,610,620,1140,4076,4228,4,1,2,2,BSAE,16,4,241,Calculus & Analytical Geom I,A,4,,,,,3.438,3.438,0.422,0.422,BSAE,0,0,0,1,117,2.919,2.919,0.941,0.941,G,G
84,3.02,620,620,1180,3612,3596,4,1,2,7,BSAE,17,4,140,College Algebra,D,1,142,Trigonometry,D,1,1.429,1.429,1.591,1.591,BSAE,0,0,0,1,0, ,0,,3.02,N,W
35,3.84,730,630,1360,4294,4432,4,1,2,3,BSAE,15,4,241,Calculus & Analytical Geom I,A,4,,,,,3.714,3.714,0.126,0.126,BSSP,1,0,0,1,167,3.61,3.61,0.23,0.23,G,G
926,3.2,470,470,850,3240,3410,3,1,1,5,BSCE,17,4,241,Calculus & Analytical Geom I,F,0,,,,,1.143,1.143,2.057,2.057,BSCE,0,0,0,1,25,1.92,1.92,1.28,1.28,N,S
